grau,turno,mensalidade,bolsa_integral_cotas,bolsa_integral_ampla,bolsa_parcial_cotas,bolsa_parcial_ampla,curso_id,curso_busca,cidade_busca,uf_busca,cidade_filtro,universidade_nome,campus_nome,campus_id,nome,nota_integral_ampla,nota_integral_cotas,nota_parcial_ampla,nota_parcial_cotas
Bacharelado,Integral,9999.99,15,14,,,706710394154,Medicina,Campo Grande,MS,NTAwMjAwNDAyNzA0,Universidade Anhanguera - UNIDERP,CAMPO GRANDE - SEDE - Miguel Couto,706710,Medicina,740.22,726.46,,
Bacharelado,Noturno,9836.4,1,,,,104191210567043,Enfermagem,Crateus,CE,MjMwNDAxODA0MTAz,Faculdade Princesa do Oeste - FPO,UNIDADE SEDE - São Vicente,1041912,Enfermagem,663.36,,,
Bacharelado,Integral,9715.61,2,5,6,10,1002328574024,Medicina,Sao Paulo,SP,MzUxNTA2MTUwMzA4,Universidade Cidade de São Paulo - UNICID,UNIVERSIDADE CIDADE DE SÃO PAULO - UNICID - SEDE - Tatuapé,1002328,Medicina,739.62,738.08,738.96,718.64
Bacharelado,Noturno,9689.34,3,2,,,104191212798093,Psicologia,Crateus,CE,MjMwNDAxODA0MTAz,Faculdade Princesa do Oeste - FPO,UNIDADE SEDE - São Vicente,1041912,Psicologia,651.0,652.22,,
Bacharelado,Integral,9674.34,4,1,5,2,65899611932754,Medicina,Rio Branco,AC,MTIwMjAwNDAwNDAx,Faculdade Barão do Rio Branco - FAB,CAMPUS  - RIO BRANCO - JARDIM EUROPA II - Jardim Europa II,658996,Medicina,758.32,723.94,734.92,711.26
Bacharelado,Integral,9650.0,8,15,,,65781564964,Medicina,Presidente Prudente,SP,MzUwODAzNjQxNDA2,Universidade do Oeste Paulista - UNOESTE,CAMPUS I  SEDE ADMINISTRATIVA PRESIDENTE PRUDENTE - Cidade Universitária,657815,Medicina,738.92,728.86,,
Bacharelado,Integral,9564.0,3,5,,,65788486984,Medicina,Marilia,SP,MzUwOTAzODI5MDA1,Universidade de Marília - UNIMAR,UNIDADE SEDE - Campus Universitario,657884,Medicina,744.16,735.0,,
Bacharelado,Integral,9350.0,4,3,,,65861111850254,Medicina,Sao Joao Del Rei,MG,MzExMTA1ODYyNTAw,Centro Universitário Presidente Tancredo de Almeida Neves - UNIPTAN,UNIDADE SEDE (UNIDADE) - Fábricas,658611,Medicina,747.84,736.68,,
Bacharelado,Integral,9208.0,7,5,,,658099184724,Medicina,Cuiaba,MT,NTEwNDAxNzAzNDAz,Universidade de Cuiabá - UNIC/UNIME,UNIC - BEIRA RIO (SEDE) - Jardim Europa,658099,Medicina,735.4,725.36,,
Bacharelado,Integral,9048.0,13,4,,,10505911785244,Medicina,Lauro de Freitas,BA,MjkwNTAyMTE5MjA3,Faculdade de Ciências Agrárias e da Saúde - FAS,UNIDADE SEDE - Centro,105059,Medicina,741.04,730.36,,
